Facility Name,City,State,ZIP Code,Payment Measure ID,Payment Measure Name,Payment Category,Payment,Value of Care Display ID,Value of Care Display Name,Value of Care Category,value_code
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24934,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17854,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20216,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36301,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,22216,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24742,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16631,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Worse Mortality and Average Payment,HF
MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16540,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Lower Payment,PN
MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20679,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24466,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Worse Mortality and Average Payment,AMI
NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17487,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
